,time,low,high,open,close,volume
176,02:15:00,10205.51,10236.67,10232.63,10222.29,96.86378442
175,02:20:00,10189.11,10224.43,10221.54,10192.5,52.04447887
174,02:25:00,10094.83,10192.85,10192.35,10161.16,730.85958878
173,02:30:00,10146.96,10195.09,10160.88,10174.19,73.65065236
172,02:35:00,10171.1,10205.76,10175.07,10191.56,34.42476665
171,02:40:00,10176.86,10199.15,10191.06,10177.72,26.47686379
170,02:45:00,10153.36,10184.77,10180.28,10153.36,41.96417797
169,02:50:00,10140.0,10174.47,10151.0,10153.36,57.14161423
168,02:55:00,10155.13,10171.44,10159.79,10171.33,17.40771025
167,03:00:00,10129.97,10164.83,10164.83,10134.57,43.34573381
166,03:05:00,10100.03,10145.54,10136.87,10139.99,70.06239917
165,03:10:00,10139.98,10170.46,10139.98,10169.48,21.35265368
164,03:15:00,10152.6,10170.0,10169.45,10166.0,13.47440793
163,03:20:00,10166.99,10187.8,10169.52,10181.81,7.02722082
162,03:25:00,10181.8,10202.3,10181.81,10201.2,41.91925437
161,03:30:00,10180.05,10201.0,10201.0,10193.99,9.53243293
160,03:35:00,10189.99,10205.0,10193.98,10196.29,14.90344753
159,03:40:00,10175.01,10193.86,10192.61,10175.01,27.14398491
158,03:45:00,10165.0,10176.9,10175.0,10176.9,32.45806884
157,03:50:00,10167.98,10185.77,10176.89,10177.75,59.44519401
156,03:55:00,10165.17,10179.95,10179.95,10165.18,21.72335401
155,04:00:00,10146.54,10165.18,10165.18,10146.54,76.92933764
154,04:05:00,10138.43,10147.95,10146.78,10147.95,38.29329619
153,04:10:00,10147.95,10184.45,10147.95,10176.64,41.1369107
152,04:15:00,10168.06,10180.25,10176.64,10168.07,16.20120019
151,04:20:00,10161.38,10171.49,10168.06,10168.97,37.86418921
150,04:25:00,10157.64,10169.35,10168.0,10160.52,36.8846877
149,04:30:00,10146.61,10163.15,10161.64,10152.53,60.73180283
148,04:35:00,10125.67,10152.53,10152.52,10131.3,57.06671039999999
147,04:40:00,10111.99,10131.3,10131.3,10113.61,68.2022295
146,04:45:00,10083.1,10144.81,10113.62,10134.8,169.04137637
145,04:50:00,10115.28,10138.14,10134.83,10135.93,24.99595966
144,04:55:00,10136.76,10152.78,10136.76,10152.24,27.93937707
143,05:00:00,10107.14,10152.24,10152.24,10117.99,40.97428508
142,05:05:00,10114.68,10151.74,10117.99,10147.2,33.54501651
141,05:10:00,10143.44,10152.78,10147.19,10146.66,52.32958207
140,05:15:00,10146.66,10165.03,10146.66,10155.88,32.43975317
139,05:20:00,10155.24,10173.46,10155.88,10171.12,19.57628997
138,05:25:00,10167.96,10190.0,10171.58,10188.01,26.17808273
137,05:30:00,10177.79,10191.5,10188.01,10184.9,32.52004333
136,05:35:00,10179.0,10192.45,10183.81,10180.59,28.948563099999998
135,05:40:00,10157.26,10180.59,10180.59,10175.72,37.30547125
134,05:45:00,10175.33,10208.1,10175.71,10207.23,34.13112091
133,05:50:00,10207.0,10228.5,10207.23,10228.5,68.38505711
132,05:55:00,10208.99,10228.5,10228.49,10209.39,49.27341237
131,06:00:00,10209.4,10235.16,10209.4,10232.1,41.9553373
130,06:05:00,10230.27,10239.02,10232.1,10238.2,37.91880889
129,06:10:00,10233.16,10242.5,10238.21,10241.42,51.48056482
128,06:15:00,10240.67,10255.69,10241.42,10255.0,87.68915206
127,06:20:00,10254.02,10275.0,10254.99,10274.99,43.16887323
126,06:25:00,10273.79,10298.19,10275.0,10281.72,79.67858697
125,06:30:00,10281.72,10350.0,10281.73,10330.44,104.74811232
124,06:35:00,10330.17,10455.0,10331.12,10451.06,296.79284234
123,06:40:00,10425.0,10484.99,10452.83,10442.28,409.09792922
122,06:45:00,10439.06,10522.51,10439.06,10501.44,368.92617794
121,06:50:00,10442.74,10510.37,10501.44,10456.17,123.41756815
120,06:55:00,10180.0,10467.73,10448.44,10180.0,578.35197112
119,07:00:00,10143.44,10311.83,10187.93,10200.56,706.26625953
118,07:05:00,10191.73,10295.67,10196.1,10277.44,239.48572296
117,07:10:00,10267.96,10348.36,10267.96,10291.23,100.68435495
116,07:15:00,10231.89,10329.01,10284.81,10245.05,146.77004217
115,07:20:00,10237.36,10291.14,10237.36,10271.15,37.67281503
114,07:25:00,10251.0,10309.38,10272.34,10290.43,54.90926486
113,07:30:00,10260.0,10317.17,10289.41,10268.81,46.02427671
112,07:35:00,10251.02,10272.94,10272.94,10254.08,39.64986104
111,07:40:00,10254.73,10294.74,10257.53,10287.1,21.17265949
110,07:45:00,10246.84,10299.2,10282.46,10270.91,56.74369679
109,07:50:00,10251.57,10276.92,10271.25,10252.9,34.47343412
108,07:55:00,10221.45,10255.86,10254.26,10255.86,74.44625502
107,08:00:00,10250.0,10275.35,10255.86,10266.87,31.91546838
106,08:05:00,10234.31,10266.87,10266.86,10251.27,27.68299996
105,08:10:00,10200.0,10255.38,10251.26,10253.82,138.10742942
104,08:15:00,10251.37,10283.62,10253.76,10279.99,47.13481504
103,08:20:00,10252.77,10280.0,10279.99,10261.94,24.75046792
